wavelength,species,ep,gf,achi131125.1120_cnorm,achi150118.1126_cnorm,achi150725.1150_cnorm,achi140925.1133_cnorm,achi131104.1121_cnorm,achi141130.1123_cnorm,achi140111.1120_cnorm,achi140804.1151_cnorm,achi141211.1130_cnorm,achi140914.1136_cnorm,achi141022.1126_cnorm
6725.357,26.0,4.103,-2.19,9.357,16.044,8.659,13.167,8.183,9.506,10.66,11.895,13.782,9.979,11.102
6726.667,26.0,4.607,-1.03,32.646,30.201,37.26,36.332,34.822,34.658,33.533,34.483,35.716,33.87,33.511
6733.151,26.0,4.638,-1.47,15.241,16.524,15.494,13.369,16.594,14.571,17.955,14.568,15.682,13.119,17.84
6739.522,26.0,1.557,-4.79,10.354,9.962,9.003,10.625,11.987,5.447,8.592,11.546,8.04,9.447,7.966
6750.152,26.0,2.4241,-2.621,66.077,66.361,69.355,65.806,70.122,63.487,70.854,69.443,65.935,68.075,68.753
6752.707,26.0,4.638,-1.204,27.265,24.476,22.612,23.57,23.535,25.466,24.131,25.703,24.139,24.525,25.798
6793.259,26.0,4.076,-2.326,nan,nan,6.889,10.733,10.28,8.557,8.557,5.491,5.83,7.518,8.618
6806.845,26.0,2.727,-3.11,29.334,25.891,25.88,26.455,30.597,28.644,26.802,26.714,29.986,28.412,27.657
6810.263,26.0,4.607,-0.986,31.765,36.263,37.615,36.622,36.583,38.244,35.867,37.999,37.225,37.686,35.227
6837.006,26.0,4.593,-1.687,14.154,14.154,8.833,8.833,9.792,9.792,9.792,8.489,10.039,11.003,8.271
6839.83,26.0,2.559,-3.35,27.67,27.537,26.607,22.362,24.689,27.116,27.976,26.743,22.127,24.777,23.591
6843.656,26.0,4.548,-0.86,46.06,47.882,44.667,51.826,44.667,42.779,49.236,41.845,46.105,47.543,47.543
6858.15,26.0,4.607,-0.93,35.079,39.507,39.507,39.507,40.532,40.532,37.781,34.926,40.117,35.158,38.264
4508.288,26.1,2.8557,-2.44,59.526,60.645,55.601,59.707,63.427,62.851,63.455,61.416,58.882,57.815,58.105
4520.224,26.1,2.8068,-2.65,59.872,59.888,59.259,60.796,60.746,60.169,61.951,60.211,61.625,60.09,60.1
4576.34,26.1,2.8443,-2.95,41.635,42.506,41.2,42.056,41.4,45.162,42.136,43.625,42.471,42.855,42.23
4620.521,26.1,2.8283,-3.21,nan,29.696,29.696,30.605,30.085,30.265,29.606,31.069,30.397,28.096,31.969
4993.358,26.1,2.8066,-3.62,19.872,22.237,22.237,22.237,22.237,22.237,21.184,21.184,22.692,22.692,21.799
5197.577,26.1,3.2306,-2.22,56.727,56.276,53.584,56.151,56.898,54.53,55.173,54.944,55.308,54.146,54.057
5234.625,26.1,3.2215,-2.18,62.542,58.427,57.194,58.473,57.448,58.514,61.427,59.794,62.37,59.255,58.144
5264.812,26.1,3.2304,-3.13,nan,nan,nan,19.269,17.654,19.795,19.795,18.208,19.733,19.733,19.733
5325.553,26.1,3.2215,-3.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5414.073,26.1,3.2215,-3.58,nan,nan,6.696,6.696,6.696,8.083,8.083,8.083,8.083,9.57,9.57
5425.257,26.1,3.1996,-3.22,23.456,18.71,18.71,20.668,19.516,18.518,17.764,17.764,20.434,20.434,20.763
6084.111,26.1,3.1996,-3.79,8.238,7.034,5.654,5.654,5.654,6.124,6.124,6.68,8.979,6.362,7.865
6149.258,26.1,3.8894,-2.69,14.817,16.316,12.989,14.373,14.491,14.084,13.363,11.49,14.45,13.125,17.088
6247.557,26.1,3.8918,-2.3,23.414,24.42,23.954,22.832,23.573,21.142,23.748,23.244,22.423,24.802,24.83
6369.462,26.1,2.8912,-4.11,7.155,4.869,8.264,4.368,4.368,7.467,7.467,7.467,7.467,6.403,6.403
6416.919,26.1,3.8918,-2.64,22.604,21.899,18.556,20.615,21.148,22.04,23.392,18.584,17.72,16.817,18.347
6432.68,26.1,2.8912,-3.57,17.572,17.17,17.456,14.498,15.159,16.688,15.953,16.757,18.293,16.879,16.139
6456.383,26.1,3.9036,-2.05,36.921,34.918,34.523,34.502,34.871,35.827,33.899,32.681,33.802,33.33,30.689
